plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png
tan20250521t180850c76s4001-A,31.343722906573078,-102.0864908280618,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-102.1128129495444, 31.327002165837698, -102.06196953036802, 31.370423299571307]",tan,production,2025-06-20 18:21:18.681053+00:00,2025-06-20 18:21:18.676858+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,1280.6166096849036,104.0435592177514,6.201865196228027,0.32943132519721985,178.2187042236328,2.5485618114471436,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-A/tan20250521t180850c76s4001-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-A/tan20250521t180850c76s4001-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-A/tan20250521t180850c76s4001-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-A/tan20250521t180850c76s4001-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-A/tan20250521t180850c76s4001-A_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-B,31.320846330346853,-102.08331602517134,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-102.10184331766389, 31.31149455618579, -102.06521901095216, 31.34277950248617]",tan,production,2025-06-20 18:21:18.895973+00:00,2025-06-20 18:21:18.882966+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,1081.9289191039293,132.17040366771803,6.143095970153809,0.34432896971702576,177.85382080078125,2.6500651836395264,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-B/tan20250521t180850c76s4001-B_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-B/tan20250521t180850c76s4001-B_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-B/tan20250521t180850c76s4001-B_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-B/tan20250521t180850c76s4001-B_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-B/tan20250521t180850c76s4001-B_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-C,31.34313868361488,-102.11960531981607,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-102.13840694746773, 31.330902705589317, -102.10177707857004, 31.361916311843185]",tan,production,2025-06-20 18:21:18.998312+00:00,2025-06-20 18:21:18.993685+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,1167.863957467019,361.95257869925405,6.164356231689453,0.37879669666290283,175.55287170410156,2.952727794647217,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-C/tan20250521t180850c76s4001-C_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-C/tan20250521t180850c76s4001-C_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-C/tan20250521t180850c76s4001-C_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-C/tan20250521t180850c76s4001-C_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-C/tan20250521t180850c76s4001-C_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-D,31.482808902255456,-101.9948390371045,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-102.01368253353738, 31.47182177939148, -101.97699285044298, 31.503109069267204]",tan,production,2025-06-20 18:21:19.101217+00:00,2025-06-20 18:21:19.096909+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,1933.626459742379,166.558439757567,6.218543529510498,0.3374716341495514,186.95895385742188,3.6024913787841797,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-D/tan20250521t180850c76s4001-D_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-D/tan20250521t180850c76s4001-D_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-D/tan20250521t180850c76s4001-D_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-D/tan20250521t180850c76s4001-D_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-D/tan20250521t180850c76s4001-D_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-E,31.673377614879172,-101.98607117121107,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-102.00301460915964, 31.66115581892636, -101.96625156805904, 31.69217237820238]",tan,production,2025-06-20 18:21:19.217231+00:00,2025-06-20 18:21:19.212604+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,1795.514723469485,147.93094378353703,5.815445423126221,0.31048113107681274,186.21835327148438,3.9410526752471924,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-E/tan20250521t180850c76s4001-E_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-E/tan20250521t180850c76s4001-E_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-E/tan20250521t180850c76s4001-E_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-E/tan20250521t180850c76s4001-E_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-E/tan20250521t180850c76s4001-E_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-F,31.85885757292236,-101.86155237426263,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-101.87891067000596, 31.851994378480065, -101.8423866961733, 31.88328282178106]",tan,production,2025-06-20 18:21:19.340314+00:00,2025-06-20 18:21:19.335856+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,1984.0492708696613,298.0237397519915,5.862500190734863,0.5555844902992249,185.50674438476562,3.5040056705474854,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-F/tan20250521t180850c76s4001-F_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-F/tan20250521t180850c76s4001-F_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-F/tan20250521t180850c76s4001-F_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-F/tan20250521t180850c76s4001-F_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-F/tan20250521t180850c76s4001-F_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-H,31.917758997251156,-101.83046531026983,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-101.84732918980062, 31.913418204737933, -101.80505927683164, 31.949561608006135]",tan,production,2025-06-20 18:21:19.466486+00:00,2025-06-20 18:21:19.461800+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,4914.375800928552,1512.7521329680062,5.908545970916748,0.703973114490509,186.1885223388672,3.299445629119873,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-H/tan20250521t180850c76s4001-H_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-H/tan20250521t180850c76s4001-H_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-H/tan20250521t180850c76s4001-H_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-H/tan20250521t180850c76s4001-H_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-H/tan20250521t180850c76s4001-H_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-I,31.86138015116977,-101.88421289676346,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-101.90378557650457, 31.846565408712596, -101.86694588535642, 31.877854096055273]",tan,production,2025-06-20 18:21:19.659768+00:00,2025-06-20 18:21:19.654911+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,342.98564653060333,163.20934001758098,5.812570095062256,0.5722482800483704,186.33169555664062,4.2292680740356445,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-I/tan20250521t180850c76s4001-I_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-I/tan20250521t180850c76s4001-I_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-I/tan20250521t180850c76s4001-I_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-I/tan20250521t180850c76s4001-I_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-I/tan20250521t180850c76s4001-I_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-J,31.687730071783207,-101.89019109669765,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-101.90943632515078, 31.67303852912366, -101.87266527299784, 31.70432756397818]",tan,production,2025-06-20 18:21:19.805881+00:00,2025-06-20 18:21:19.796749+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,1154.3555725057315,238.06331325603213,5.934194087982178,0.3532712757587433,184.07763671875,1.4625412225723267,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-J/tan20250521t180850c76s4001-J_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-J/tan20250521t180850c76s4001-J_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-J/tan20250521t180850c76s4001-J_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-J/tan20250521t180850c76s4001-J_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-J/tan20250521t180850c76s4001-J_l3a-vis-ch4-mfa-v3_rgb.png
tan20250521t180850c76s4001-K,31.569369985060774,-101.9152382323419,2025-05-21T18:08:50+00,Oil & Gas (1B2),CH4,mfa,"[-101.93449261905214, 31.554526245053207, -101.89776958746101, 31.58554457399457]",tan,production,2025-06-20 18:21:19.917223+00:00,2025-06-20 18:21:19.912496+00:00,v3,3.16.0,32.70802710708106,standard_sensitivity,3.3821482856183573,346.3387863794067,133.1230466666836,5.897365093231201,0.4449179470539093,185.89096069335938,4.041162490844727,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-K/tan20250521t180850c76s4001-K_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-K/tan20250521t180850c76s4001-K_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-K/tan20250521t180850c76s4001-K_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-K/tan20250521t180850c76s4001-K_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/21/tan20250521t180850c76s4001-K/tan20250521t180850c76s4001-K_l3a-vis-ch4-mfa-v3_rgb.png
